,judul,harga
0,Sharp Objects,£47.82
1,"In a Dark, Dark Wood",£19.63
2,The Past Never Ends,£56.50
3,A Murder in Time,£16.64
4,The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10
5,The Last Mile (Amos Decker #2),£54.21
6,That Darkness (Gardiner and Renner #1),£13.92
7,Tastes Like Fear (DI Marnie Rome #3),£10.69
8,A Time of Torment (Charlie Parker #14),£48.35
9,A Study in Scarlet (Sherlock Holmes #1),£16.73
10,Poisonous (Max Revere Novels #3),£26.80
11,Murder at the 42nd Street Library (Raymond Ambler #1),£54.36
12,Most Wanted,£35.28
13,Hide Away (Eve Duncan #20),£11.84
14,Boar Island (Anna Pigeon #19),£59.48
15,The Widow,£27.26
16,Playing with Fire,£13.71
17,What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37
18,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),£52.30
19,Delivering the Truth (Quaker Midwife Mystery #1),£20.89
